"loan_amnt","title","int_rate","term","loan_status","emp_length","home_ownership","annual_inc","dti","pub_rec","mo_sin_old_rev_tl_op","mo_sin_old_il_acct","total_acc","open_acc","mort_acc","delinq_2yrs","inq_last_12m","all_util","revol_util","revol_bal","tot_cur_bal","total_bal_ex_mort","grade"
8000,"Debt consolidation",0.239496415063739," 36 months","Current","2 years","MORTGAGE",80000,30.41,0,335,158,35,17,5,2,1,96,0.807,23171,360675,142465,"E"
7000,"Other",0.276404287536209," 36 months","Current","3 years","RENT",50000,11.38,0,42,20,6,5,0,0,2,77,0.878,5090,14480,14480,"E"
5000,"Debt consolidation",0.074035238654376," 36 months","Current","4 years","RENT",35360,5.19,0,65,74,8,3,0,0,0,46,0.243,2598,7873,7873,"A"
20000,"Debt consolidation",0.108649873517151," 36 months","Current","< 1 year","OWN",37000,15.21,0,148,113,16,10,0,0,0,46,0.296,3872,11867,11867,"B"
10000,"Debt consolidation",0.0773463034009561," 36 months","Current","2 years","RENT",31576,7.3,0,91,0,8,5,0,0,0,53,0.528,5965,5965,5965,"A"
12000,"Debt consolidation",0.16569328909819," 36 months","Current","< 1 year","RENT",75000,24.99,0,162,159,22,12,0,0,0,93,0.93,32941,42461,42461,"C"
5500,"Credit card refinancing",0.107843353961315," 36 months","Current","2 years","RENT",88000,9.7,0,184,185,34,10,2,2,2,83,0.517,5633,477558,109724,"B"
10000,"Debt consolidation",0.11833890893613," 60 months","Current","9+ years","MORTGAGE",89000,8.47,0,184,178,13,6,2,0,5,70,0.623,15629,207219,27205,"B"
7500,"Debt consolidation",0.0693387993209995," 36 months","Current","< 1 year","OWN",45000,6.16,0,254,135,19,5,3,0,0,86,0.702,3368,8808,8808,"A"
32400,"Debt consolidation",0.184818373373174," 60 months","Current","9+ years","RENT",147500,10.58,0,50,154,12,8,0,0,0,61,0.486,7626,25604,25604,"D"
7000,"Credit card refinancing",0.0856711397714913," 36 months","Current","8 years","RENT",60000,16.32,0,57,52,5,5,0,0,0,49,0.622,13371,21303,21303,"A"
14400,"Debt consolidation",0.0935264334182953," 36 months","Current","9+ years","MORTGAGE",65500,11.85,0,164,144,15,8,2,0,2,42,0.425,16613,365354,21233,"A"
12000,"Home improvement",0.108440310173598," 60 months","Current","9+ years","MORTGAGE",120000,18.73,0,249,139,21,6,0,1,0,51,0.478,11413,83531,83531,"B"
35000,"Debt consolidation",0.118900652388111," 60 months","Current","2 years","MORTGAGE",60000,24.24,0,379,114,16,11,2,0,1,57,0.569,102100,266941,102100,"B"
16500,"Debt consolidation",0.105705515842373," 60 months","Current","9+ years","MORTGAGE",60000,14.76,0,366,91,14,8,2,0,5,61,0.576,27059,165445,36836,"B"
10000,"Credit card refinancing",0.173846202820446," 36 months","Current","9+ years","MORTGAGE",75000,27.02,0,171,152,21,15,2,1,1,45,0.314,16334,218187,65520,"C"
10000,"Credit card refinancing",0.118125706429593," 36 months","Current","1 year","MORTGAGE",50000,24.1,0,142,115,31,11,1,1,0,52,0.502,12006,245910,36065,"B"
15000,"Home improvement",0.08331206631565," 36 months","Current","9+ years","MORTGAGE",205000,20.22,0,356,134,25,10,3,0,2,56,0.409,35949,498361,142802,"A"
17000,"Credit card refinancing",0.200380306579918," 60 months","Current","2 years","MORTGAGE",64000,11.33,0,96,140,19,10,5,0,1,52,0.558,16081,133792,21677,"D"
6000,"Credit card refinancing",0.170611981607415," 36 months","Current","1 year","RENT",15000,28.48,0,60,11,7,5,0,0,0,63,0.634,6719,8578,8578,"C"
5000,"Debt consolidation",0.0885352955635404," 36 months","Current","7 years","MORTGAGE",150000,19.41,0,384,170,38,21,6,0,2,66,0.616,36685,437659,76980,"A"
20000,"Other",0.0884599866307341," 36 months","Current","6 years","RENT",75000,17.74,0,66,33,11,8,0,0,9,61,0.181,4167,47561,47561,"A"
20000,"Other",0.169127387378504," 36 months","Current","< 1 year","RENT",205000,9.59,0,96,184,19,7,2,0,2,44,0.873,4364,77844,77844,"C"
8000,"Credit card refinancing",0.239229999829782," 36 months","Current","4 years","RENT",42000,7.26,0,40,0,6,5,0,0,7,74,0.739,6944,6944,6944,"E"
5000,"Debt consolidation",0.0661572184651392," 36 months","Current","4 years","MORTGAGE",57000,20.82,0,25,55,11,7,1,0,6,56,0.396,6853,192780,33346,"A"
12000,"Home improvement",0.0726202592059737," 36 months","Current","< 1 year","OWN",135000,3.52,0,62,178,16,9,2,0,6,49,0.001,31,407728,242728,"A"
20000,"Debt consolidation",0.112225715996278," 60 months","Current","6 years","MORTGAGE",50000,16.73,0,138,229,19,8,2,0,0,38,0.412,15418,104095,17154,"B"
10000,"Business",0.20899264159645," 36 months","Late","< 1 year","RENT",120000,4.64,0,107,52,8,3,0,0,6,68,0.938,2252,11783,11783,"D"
10000,"Debt consolidation",0.0656110023724847," 36 months","Current","1 year","MORTGAGE",65000,21.27,0,144,183,35,25,3,0,1,44,0.194,13866,172393,57240,"A"
10000,"Home improvement",0.154335115265963," 36 months","Current","9+ years","MORTGAGE",75000,26.78,0,247,133,20,12,2,0,4,57,0.292,9977,395681,53750,"C"
27000,"Debt consolidation",0.191355049550394," 36 months","Current","1 year","MORTGAGE",130000,25.14,1,42,161,21,11,0,0,5,62,0.528,10763,75084,75084,"D"
7200,"Debt consolidation",0.201692543168948," 36 months","Current","< 1 year","RENT",135000,9.5,0,437,160,15,5,0,1,0,62,0.339,1120,22922,22922,"D"
15000,"Credit card refinancing",0.0709707487056032," 36 months","Current","1 year","MORTGAGE",93000,10.84,0,133,129,26,9,2,2,0,74,0.74,14882,201419,35986,"A"
26000,"Debt consolidation",0.0646117574369069," 36 months","Current","3 years","RENT",70000,19.27,0,121,156,15,6,0,0,0,67,0.791,25478,48983,48983,"A"
10000,"Credit card refinancing",0.0885079362890916," 36 months","Current","3 years","MORTGAGE",270000,4.49,1,238,136,42,26,2,1,7,23,0.051,2115,49888,49888,"A"
19000,"Credit card refinancing",0.0895025297610788," 60 months","Current","9+ years","MORTGAGE",75000,15.74,0,488,38,11,6,5,0,0,81,0.961,22204,269257,46911,"A"
35000,"Debt consolidation",0.0830403523740591," 60 months","Current","< 1 year","OWN",224000,10.7,0,194,169,36,19,4,0,5,41,0.387,29899,240743,48893,"A"
12000,"Debt consolidation",0.0829015474598622," 36 months","Current","1 year","MORTGAGE",1e+05,14.29,0,407,103,19,8,5,0,0,52,0.498,29603,353380,40091,"A"
25000,"Debt consolidation",0.19992306112072," 60 months","Current","9+ years","MORTGAGE",80000,22.82,0,163,103,15,11,1,0,2,50,0.352,5380,200803,44291,"D"
6000,"Moving and relocation",0.135159268529341," 36 months","Current","4 years","RENT",120000,23.63,1,174,107,21,11,0,0,9,61,0.399,13456,86650,86650,"B"
10000,"Credit card refinancing",0.100969105980545," 36 months","Current","< 1 year","MORTGAGE",54000,11.91,0,164,142,29,12,2,0,1,46,0.352,10592,18463,18463,"B"
11000,"Credit card refinancing",0.123485337760416," 36 months","Current","9+ years","OWN",70000,23.42,0,18,121,17,8,1,0,6,68,0.774,10068,47524,47524,"B"
1500,"Other",0.135885128322896," 36 months","Current","9+ years","MORTGAGE",60000,14.28,0,153,131,25,12,2,0,0,40,0.164,5983,172343,23278,"C"
2500,"Major purchase",0.0844888702390948," 36 months","Current","9+ years","RENT",27000,14.76,0,166,205,17,4,0,0,1,37,0.276,4078,9600,9600,"A"
3000,"Debt consolidation",0.107141599240899," 36 months","Current","4 years","OWN",50000,20.62,0,202,151,19,10,1,0,1,64,0.19,2620,27966,27966,"B"
10000,"Debt consolidation",0.145261873748316," 36 months","Current","4 years","RENT",49000,23.83,0,46,61,14,7,0,0,4,47,0.468,11135,51909,51909,"C"
10000,"Credit card refinancing",0.0676610487562604," 36 months","Current","< 1 year","RENT",50000,3.55,0,62,21,23,15,0,0,11,27,0.111,6487,19965,19965,"A"
22000,"Credit card refinancing",0.0663957023152849," 36 months","Current","9+ years","RENT",67000,26.9,0,149,150,35,17,6,0,3,44,0.199,22618,79983,79983,"A"
20000,"Debt consolidation",0.149234008039162," 60 months","Current","3 years","MORTGAGE",90000,8.21,0,38,72,11,7,1,0,3,87,0.31,2260,214159,47901,"C"
10000,"Debt consolidation",0.164565590060293," 36 months","Current","1 year","MORTGAGE",25000,16.23,0,168,88,9,6,0,1,1,59,0.465,3165,8353,8353,"C"
30000,"Credit card refinancing",0.118698716620216," 36 months","Current","1 year","MORTGAGE",215000,3.2,0,29,57,15,11,2,1,1,60,0.56,19774,390462,23052,"B"
20000,"Debt consolidation",0.150648123126873," 36 months","Current","3 years","MORTGAGE",55000,24.13,0,106,144,25,22,1,0,2,84,0.594,15615,250603,66693,"C"
17000,"Credit card refinancing",0.0857310267415363," 60 months","Current","7 years","RENT",65000,17.71,0,133,36,11,8,0,0,0,71,0.614,17561,38130,38130,"A"
5000,"Credit card refinancing",0.0825120997125981," 36 months","Current","2 years","MORTGAGE",20320,28.17,0,55,50,8,7,0,0,1,30,0.165,4573,14248,14248,"A"
20000,"Debt consolidation",0.151239528558031," 60 months","Current","9+ years","MORTGAGE",49000,12.86,1,279,35,10,7,2,0,0,60,0.594,9677,127870,20688,"C"
10000,"Debt consolidation",0.164895781006175," 60 months","Current","9+ years","MORTGAGE",75000,10.59,0,172,143,19,10,1,2,0,82,0.611,3664,234552,22963,"C"
4000,"Major purchase",0.133364058172633," 36 months","Current","3 years","RENT",50000,3.5,0,162,204,22,9,0,0,2,68,0.214,5938,53231,53231,"B"
14000,"Credit card refinancing",0.224701164073078," 60 months","Current","9+ years","MORTGAGE",75000,31.14,0,205,125,19,7,2,1,3,85,0.841,10511,109918,109918,"D"
15000,"Other",0.200636314347782," 36 months","Late","< 1 year","RENT",112000,15.25,0,123,158,19,12,0,0,2,58,0.74,4438,58754,58754,"D"
15000,"Debt consolidation",0.120522487630253," 60 months","Current","4 years","RENT",80000,10.5,0,93,74,8,3,0,1,0,51,0.505,4798,32401,32401,"B"
12000,"Credit card refinancing",0.112687492852355," 60 months","Current","5 years","MORTGAGE",60000,13.6,0,125,97,6,4,1,0,1,78,0.666,9585,281908,22549,"B"
14500,"Debt consolidation",0.255869084737357," 36 months","Current","4 years","RENT",110000,8.27,1,167,106,27,13,0,0,4,43,0.287,9541,19455,19455,"E"
10000,"Debt consolidation",0.127633316319389," 36 months","Current","9+ years","RENT",52000,6.9,0,77,0,8,8,0,0,0,68,0.679,9779,9779,9779,"B"
20000,"Debt consolidation",0.0716008488323307," 36 months","Current","5 years","RENT",135000,14.52,0,63,161,19,16,1,0,0,65,0.539,20702,61273,61273,"A"
20000,"Debt consolidation",0.2103708940126," 36 months","Current","3 years","OWN",70000,31.49,1,107,132,18,12,0,0,0,80,0.918,16991,37228,37228,"D"
8000,"Debt consolidation",0.163571691875556," 36 months","Current","9+ years","RENT",21000,23.66,0,427,131,15,11,0,0,2,27,0.277,8070,9171,9171,"C"
4000,"Debt consolidation",0.131149882401293," 36 months","Current","9+ years","RENT",33000,1.02,0,40,0,4,3,0,0,0,32,0.315,818,818,818,"B"
24000,"Major purchase",0.0790909010005184," 36 months","Current","6 years","MORTGAGE",67000,14.85,0,141,132,24,10,1,0,4,1,0.005,163,48138,48138,"A"
40000,"Debt consolidation",0.163882976962114," 60 months","Current","9+ years","MORTGAGE",78000,15.35,0,197,178,30,16,5,0,0,63,0.47,21414,260537,55547,"C"
2750,"Debt consolidation",0.104674550686916," 36 months","Current","1 year","RENT",75000,17.1,0,128,174,29,13,0,0,0,30,0.347,13590,119238,119238,"B"
19000,"Debt consolidation",0.0909855580774834," 36 months","Current","9+ years","MORTGAGE",97000,13.56,0,163,91,18,9,4,0,1,46,0.453,18959,244184,33548,"A"
40000,"Debt consolidation",0.121697064071894," 60 months","Current","6 years","RENT",80000,7.88,0,134,112,14,10,0,0,0,43,0.433,41828,41828,41828,"B"
8800,"Debt consolidation",0.138866363202943," 36 months","Current","7 years","RENT",45000,30.96,1,181,157,36,14,1,0,1,79,0.402,10121,66367,66367,"C"
20000,"Credit card refinancing",0.0789539292813512," 36 months","Current","1 year","MORTGAGE",125000,20.76,0,160,218,39,14,2,0,0,49,0.432,24247,79097,79097,"A"
15000,"Credit card refinancing",0.0729189721687231," 60 months","Current","9+ years","MORTGAGE",50500,25.36,0,183,164,27,9,2,0,1,77,0.877,12548,78078,33693,"A"
16000,"Debt consolidation",0.274972738011088," 60 months","Current","1 year","OWN",65000,32.31,0,244,66,12,8,0,0,0,72,0.993,39536,43745,43745,"E"
10000,"Other",0.0760692371210549," 36 months","Current","6 years","RENT",80000,22.29,1,159,144,23,14,3,0,4,45,0.166,11234,56211,56211,"A"
30000,"Debt consolidation",0.162081178556639," 36 months","Current","< 1 year","MORTGAGE",61200,25,0,212,54,22,12,1,0,0,67,0.705,33133,148321,47454,"C"
25000,"Debt consolidation",0.120041902377736," 36 months","Current","3 years","MORTGAGE",165000,20.4,0,269,104,30,21,1,0,1,56,0.572,71982,99363,99363,"B"
15000,"Debt consolidation",0.0847374142260291," 36 months","Current","1 year","MORTGAGE",155000,14.76,0,272,156,21,11,5,0,0,63,0.508,22151,333371,104018,"A"
13000,"Debt consolidation",0.106029911121516," 60 months","Current","9+ years","MORTGAGE",55000,28.52,0,187,95,18,12,1,0,0,75,0.949,42124,196039,66143,"B"
16950,"Debt consolidation",0.194072600476304," 36 months","Current","9+ years","MORTGAGE",85000,24.35,0,210,142,26,14,2,0,5,71,0.386,6676,303991,93547,"D"
28000,"Debt consolidation",0.15428293368842," 60 months","Current","9+ years","MORTGAGE",119967,18.5,0,227,150,37,17,4,1,0,85,0.458,18283,348120,110441,"C"
6000,"Debt consolidation",0.0801898768217303," 36 months","Current","9+ years","RENT",39000,27.15,0,137,127,23,11,0,0,1,46,0.053,1189,30935,30935,"A"
10000,"Credit card refinancing",0.0647247707396979," 36 months","Current","< 1 year","MORTGAGE",220000,1.04,0,94,130,12,4,0,0,1,48,0.475,11885,11885,11885,"A"
19200,"Debt consolidation",0.163120052923425," 36 months","Current","6 years","RENT",51300,23.04,0,52,50,9,7,0,0,1,58,0.53,6576,17773,17773,"C"
5000,"Debt consolidation",0.0733826009086566," 36 months","Current","8 years","RENT",35000,3.43,0,95,116,8,5,0,0,0,23,0.227,3298,3298,3298,"A"
5000,"Credit card refinancing",0.0841683398689842," 36 months","Current","8 years","RENT",36500,6.15,0,135,105,8,5,0,0,0,36,0.351,2910,4096,4096,"A"
12500,"Credit card refinancing",0.0857603587530088," 60 months","Current","9+ years","MORTGAGE",72500,6.94,1,95,71,11,7,1,0,0,74,0.741,12747,219782,12747,"A"
12000,"Credit card refinancing",0.140734663987556," 36 months","Current","3 years","OWN",38000,27.07,0,136,62,8,7,0,0,1,78,0.78,24735,24735,24735,"C"
10000,"Credit card refinancing",0.0654392502333736," 36 months","Current","4 years","OWN",61000,39.27,0,68,50,14,12,1,0,0,50,0.234,10403,242335,72761,"A"
2000,"Other",0.166848859476019," 36 months","Current","9+ years","MORTGAGE",70000,14.74,0,148,125,28,10,3,2,3,76,0.28,2631,313782,104411,"C"
33000,"Debt consolidation",0.0661059885766823," 36 months","Current","9+ years","RENT",298000,19.51,0,482,128,32,21,6,0,1,59,0.721,90623,650605,131861,"A"
7500,"Home improvement",0.0875625836540945," 36 months","Current","9+ years","MORTGAGE",70132,24.62,0,143,133,19,12,1,0,0,70,0.702,20984,187019,57060,"A"
5000,"Debt consolidation",0.109811652016989," 36 months","Current","9+ years","MORTGAGE",190000,16.13,0,310,127,31,15,9,0,1,80,0.678,95226,438062,147929,"B"
12000,"Credit card refinancing",0.0858526387553196," 36 months","Current","1 year","RENT",60000,12.26,0,83,73,23,13,0,1,2,29,0.214,8202,20656,20656,"A"
20000,"Debt consolidation",0.122793384514167," 36 months","Current","5 years","RENT",50000,22.96,0,96,23,8,6,0,0,0,67,0.758,12056,19279,19279,"B"
40000,"Debt consolidation",0.0660396634442965," 36 months","Current","9+ years","MORTGAGE",3e+05,19.68,0,271,203,49,25,4,0,2,84,0.886,139243,560628,259013,"A"
24000,"Credit card refinancing",0.120593212835491," 60 months","Current","2 years","RENT",85000,18.3,0,149,262,32,17,1,0,1,50,0.5,26037,55944,55944,"B"
40000,"Debt consolidation",0.0884764995454112," 36 months","Current","3 years","RENT",85000,15.83,0,68,37,9,8,0,0,4,53,0.497,10831,44869,44869,"A"
10000,"Debt consolidation",0.149329146566265," 60 months","Current","2 years","OWN",45000,18.85,0,39,142,44,10,0,1,1,52,0.388,6637,97709,97709,"C"
28000,"Debt consolidation",0.0673480874797562," 36 months","Current","< 1 year","RENT",160000,25.58,0,453,146,44,21,4,0,4,67,0.679,68735,121560,121560,"A"
15000,"Credit card refinancing",0.119955128701287," 36 months","Current","3 years","RENT",130000,18.96,1,193,172,18,11,0,0,5,36,0.313,17066,45459,45459,"B"
15000,"Credit card refinancing",0.10475779053818," 60 months","Current","9+ years","MORTGAGE",52000,22.48,0,142,192,20,9,5,0,2,61,0.469,10881,161137,32642,"B"
16000,"Credit card refinancing",0.145173014856572," 60 months","Current","9+ years","MORTGAGE",40000,25.47,1,38,152,16,11,0,0,2,44,0.204,10116,35136,35136,"C"
10000,"Debt consolidation",0.165086344893649," 36 months","Current","< 1 year","RENT",75000,37.66,1,72,165,12,7,0,0,12,80,0.944,21902,104779,104779,"C"
5000,"Credit card refinancing",0.120053634730517," 36 months","Current","4 years","RENT",90000,9.2,0,35,49,9,6,0,0,1,86,0.879,9843,29878,29878,"B"
15000,"Home improvement",0.107136992135621," 60 months","Current","9+ years","MORTGAGE",1e+05,12.37,0,190,175,33,16,5,0,0,31,0.309,25541,111604,35135,"B"
35000,"Credit card refinancing",0.104604811865441," 36 months","Current","6 years","MORTGAGE",95200,17.36,0,166,137,34,13,7,0,2,54,0.431,29812,382587,87577,"B"
8000,"Debt consolidation",0.0700671520441771," 36 months","Current","5 years","RENT",98000,17.13,0,212,112,20,8,1,0,1,31,0.113,9277,38297,38297,"A"
2000,"Other",0.133824815008393," 36 months","Current","9+ years","MORTGAGE",90000,21.88,0,207,184,32,14,7,0,2,77,0.726,31416,247315,62610,"B"
3000,"Credit card refinancing",0.148747002412961," 36 months","Current","3 years","RENT",40000,17.34,0,27,128,11,8,0,0,1,36,0.266,2391,3721,3721,"C"
18500,"Debt consolidation",0.162629928722256," 60 months","Current","9+ years","MORTGAGE",62000,35.39,0,173,95,20,14,1,0,2,53,0.493,18378,198211,55195,"C"
4500,"Major purchase",0.211145324726682," 36 months","Current","< 1 year","RENT",85000,3.73,0,43,35,5,5,0,0,2,56,0.589,5651,6794,6794,"D"
5000,"Car financing",0.0871722280641319," 36 months","Current","8 years","RENT",51000,0.35,0,108,82,11,2,0,0,0,11,0.15,1271,1271,1271,"A"
5000,"Debt consolidation",0.120246205896372," 36 months","Current","< 1 year","RENT",85000,6.45,0,41,48,6,4,1,0,0,70,0.408,1101,14725,14725,"B"
15000,"Credit card refinancing",0.10565453640006," 60 months","Current","2 years","RENT",53000,34.85,0,114,109,30,19,0,0,3,65,0.417,16768,63928,63928,"B"
3850,"Debt consolidation",0.140029232916213," 36 months","Current","2 years","RENT",41600,20.86,0,42,41,15,13,0,0,4,25,0.245,3645,40500,40500,"C"
10000,"Debt consolidation",0.0932214487993857," 36 months","Current","8 years","RENT",55000,10.76,0,44,21,21,17,0,0,9,12,0.128,4208,4948,4948,"A"
26075,"Debt consolidation",0.0655530441239476," 36 months","Current","1 year","MORTGAGE",50000,27.65,0,257,148,22,10,5,0,3,48,0.421,29355,209925,50040,"A"
7200,"Debt consolidation",0.0679746260515414," 36 months","Current","6 years","RENT",75000,9.41,0,298,125,16,10,0,0,1,15,0.055,3737,11874,11874,"A"
21000,"Credit card refinancing",0.0622778909679269," 36 months","Current","< 1 year","RENT",130000,12.59,0,146,245,9,7,0,0,0,50,0.495,19547,40443,40443,"A"
7500,"Credit card refinancing",0.164379075229377," 36 months","Current","9+ years","OWN",68000,4.57,0,68,0,7,7,0,2,0,50,0.499,7927,7927,7927,"C"
35000,"Debt consolidation",0.2450352238636," 60 months","Current","2 years","RENT",102180.91,38.78,0,138,140,31,22,0,0,0,98,0.98,59314,141778,141778,"E"
40000,"Debt consolidation",0.0658697169472231," 36 months","Current","< 1 year","MORTGAGE",140000,18.1,0,353,155,42,20,4,0,1,88,0.884,60554,377046,60554,"A"
33000,"Debt consolidation",0.164517069162079," 60 months","Current","9+ years","RENT",55000,22.43,0,183,147,16,4,0,0,0,61,0.722,20642,30148,30148,"C"
16000,"Other",0.171734729943005," 36 months","Current","9+ years","RENT",51000,20.73,1,20,153,14,7,0,0,5,5,0.047,549,39257,39257,"C"
25000,"Debt consolidation",0.179797336798441," 60 months","Current","9+ years","MORTGAGE",145000,5.93,0,172,0,14,6,5,0,1,92,0.92,26641,740673,26641,"D"
10000,"Debt consolidation",0.0682867384072393," 36 months","Current","3 years","RENT",63600,14.47,0,67,59,9,8,0,0,0,52,0.519,9399,22305,22305,"A"
35000,"Debt consolidation",0.0830114123644074," 60 months","Current","< 1 year","RENT",110000,6.26,0,173,137,78,33,9,0,6,12,0.034,5552,535993,21973,"A"
30600,"Debt consolidation",0.224271864692913," 60 months","Current","1 year","RENT",55000,12.48,0,44,53,10,5,0,0,5,66,0.033,332,19435,19435,"D"
5000,"Debt consolidation",0.0859988787180278," 36 months","Current","< 1 year","MORTGAGE",20000,3.3,0,135,108,22,2,2,0,0,61,0.613,1838,61487,1838,"A"
15275,"Debt consolidation",0.273559723191708," 36 months","Current","9+ years","RENT",67488,27.4,0,126,80,13,6,1,0,0,82,0.952,21422,382654,65285,"E"
10000,"Debt consolidation",0.209561189361941," 36 months","Current","9+ years","RENT",43000,31.84,0,126,103,36,27,0,0,1,38,0.315,22449,32718,32718,"D"
10000,"Credit card refinancing",0.0691636047006119," 36 months","Current","2 years","RENT",78000,13.88,0,58,57,15,11,0,0,2,72,0.63,9509,37450,37450,"A"
15000,"Debt consolidation",0.208929553157976," 60 months","Current","9+ years","RENT",60000,13.46,0,35,92,28,28,0,0,1,81,0.332,9935,72550,72550,"D"
8000,"Debt consolidation",0.154168479951611," 36 months","Current","3 years","RENT",30000,28.44,0,52,98,9,5,0,0,2,94,0.527,4164,53918,53918,"C"
12500,"Credit card refinancing",0.148177106412407," 36 months","Current","7 years","RENT",46000,11.63,0,150,135,15,10,0,0,0,70,0.644,11262,19817,19817,"C"
16000,"Credit card refinancing",0.0662785292975837," 36 months","Current","< 1 year","RENT",62000,7.47,0,104,95,20,14,0,0,1,34,0.344,20359,20359,20359,"A"
12000,"Debt consolidation",0.275448823300935," 60 months","Current","9+ years","RENT",36000,28.37,0,128,176,11,7,0,0,0,78,0.598,6461,35185,35185,"E"
17500,"Home improvement",0.0871177435249323," 36 months","Current","5 years","MORTGAGE",195000,7.86,0,105,85,13,12,3,0,1,58,0.739,12422,471241,264172,"A"
20000,"Credit card refinancing",0.139101348051243," 36 months","Current","2 years","RENT",65000,32.35,0,77,86,22,14,0,0,0,53,0.492,25796,62001,62001,"C"
17000,"Credit card refinancing",0.121696592232329," 60 months","Current","3 years","RENT",37440,13.01,0,136,140,7,4,0,0,0,72,0.724,16516,16516,16516,"B"
14000,"Credit card refinancing",0.108939671062096," 60 months","Current","2 years","MORTGAGE",80000,17.42,0,38,86,10,10,0,0,0,78,0.872,21185,48095,48095,"B"
40000,"Debt consolidation",0.104347111496096," 36 months","Current","< 1 year","OWN",210000,17.13,0,85,79,27,18,0,0,2,77,0.659,21233,87083,87083,"B"
4000,"Credit card refinancing",0.0860698298268486," 36 months","Current","9+ years","MORTGAGE",82000,26.06,0,195,231,53,19,1,0,2,40,0.425,10534,368718,42263,"A"
5000,"Debt consolidation",0.245016087606945," 36 months","Current","3 years","MORTGAGE",48000,5.38,0,123,157,26,4,2,1,4,94,0.124,218,296673,25164,"E"
15000,"Debt consolidation",0.255094340089336," 60 months","Current","9+ years","RENT",77000,21.45,1,130,126,26,14,0,0,8,45,0.078,2404,94028,94028,"E"
7000,"Credit card refinancing",0.0661044451029971," 36 months","Current","2 years","RENT",75000,10.4,0,65,131,10,6,0,0,3,79,0.54,6912,33709,33709,"A"
4800,"Debt consolidation",0.103867944277078," 36 months","Current","3 years","RENT",40000,16.35,0,84,157,17,5,0,0,4,33,0.113,1692,11269,11269,"B"
10000,"Debt consolidation",0.107877292040316," 36 months","Late","6 years","RENT",38217,24.12,0,110,135,28,17,0,0,4,64,0.206,3063,30490,30490,"B"
30000,"Home improvement",0.0860494275043951," 36 months","Current","9+ years","OWN",95000,22.22,0,251,147,38,15,6,0,0,29,0.399,16354,213209,20381,"A"
